,city_num,city,country,date,humidity,cloudiness,lat,long,maxtemp,windspeed
0,1,São João da Barra,BR,1619458501,62,40,-21.6403,-41.0511,303.15,3.09
1,2,New Norfolk,AU,1619458501,77,15,-42.7826,147.0587,282.04,1.27
2,3,Dhenkānāl,IN,1619458502,89,40,20.6667,85.6,301.15,4.63
3,4,Ormara,PK,1619458502,81,6,25.2088,64.6357,300.76,5.42
4,5,Buta,CD,1619458502,81,61,2.7858,24.73,295.51,0.75
5,6,Barceloneta,PR,1619458503,77,45,18.4505,-66.5385,301.48,1.79
6,8,Thompson,CA,1619458503,81,75,55.7435,-97.8558,276.15,4.12
8,10,Nizwá,OM,1619458504,17,48,22.9333,57.5333,302.12,0.55
9,11,Nikolskoye,RU,1619458505,81,90,59.7035,30.7861,278.71,2.0
10,12,Rikitea,PF,1619458448,76,13,-23.1203,-134.9692,298.2,2.87
12,15,Bluff,NZ,1619458506,87,80,-46.6,168.3333,277.59,3.13
13,16,Kapaa,US,1619458431,73,75,22.0752,-159.319,297.15,5.14
14,17,Qandala,SO,1619458507,61,77,11.472,49.8728,303.0,2.36
15,18,Fukuechō,JP,1619458507,64,50,32.6881,128.8419,289.64,2.95
17,20,Tuktoyaktuk,CA,1619458464,78,1,69.4541,-133.0374,258.15,6.17
19,22,Mitsamiouli,KM,1619458509,74,67,-11.3847,43.2844,300.7,4.38
20,23,Ribeira Grande,PT,1619458509,72,40,38.5167,-28.7,290.15,3.09
22,25,Altay,CN,1619458510,34,31,47.8667,88.1167,275.39,3.67
25,28,Butaritari,KI,1619458458,75,85,3.0707,172.7902,301.51,6.43
26,29,Goubellat,TN,1619458511,60,20,36.5418,9.6633,294.15,9.26
27,30,Jamestown,US,1619458400,36,1,42.097,-79.2353,283.15,3.6
28,31,Mar del Plata,AR,1619458507,67,40,-38.0023,-57.5575,290.15,4.12
29,32,Zyryanka,RU,1619458512,89,13,65.75,150.85,259.05,3.93
30,33,Castro,BR,1619458484,50,22,-24.7911,-50.0119,295.63,3.29
31,34,Ouésso,CG,1619458513,61,64,1.6136,16.0517,300.15,0.95
32,35,Mataura,NZ,1619458514,87,100,-46.1927,168.8643,277.59,3.13
34,39,Nizip,TR,1619458515,47,0,37.0097,37.7942,288.15,4.83
36,42,Belyy Yar,RU,1619458516,60,100,53.6039,91.3903,275.15,1.0
38,44,Barrow,US,1619458495,85,1,71.2906,-156.7887,261.15,6.69
39,45,Lebu,CL,1619458492,67,0,-37.6167,-73.65,288.78,5.75
40,46,Carnarvon,AU,1619458517,82,1,-24.8667,113.6333,291.15,2.57
41,47,Rio Grande,BR,1619458517,49,20,-32.035,-52.0986,296.15,6.17
42,48,Macusani,PE,1619458518,41,20,-14.0833,-70.4333,284.59,1.82
43,51,Puerto Colombia,CO,1619458519,66,75,10.9878,-74.9547,305.15,4.63
44,52,Cape Town,ZA,1619458470,77,20,-33.9258,18.4232,292.04,4.12
45,53,Kālīganj,BD,1619458519,52,100,23.4095,89.1402,302.6,6.22
47,55,Longyearbyen,SJ,1619458520,63,20,78.2186,15.6401,268.15,6.17
48,56,Talnakh,RU,1619458521,87,100,69.4865,88.3972,260.77,3.81
49,57,Albany,US,1619458476,32,4,42.6001,-73.9662,283.71,2.24
51,59,Saint Paul Harbor,US,1619458522,81,90,57.79,-152.4072,279.15,3.6
52,60,Ostrovnoy,RU,1619458522,77,100,68.0531,39.5131,272.13,8.98
53,61,Huron,US,1619458523,57,17,41.1501,-82.5499,286.48,3.42
54,62,Katsuura,JP,1619458523,54,20,35.1333,140.3,284.15,5.14
55,63,Bondoukou,CI,1619458524,68,100,8.0333,-2.8,301.05,2.61
56,64,Comodoro Rivadavia,AR,1619458524,45,0,-45.8667,-67.5,291.15,3.6
57,65,Champerico,GT,1619458525,62,20,14.3,-91.9167,305.15,2.06
58,66,Angoulême,FR,1619458525,63,0,45.65,0.15,289.82,1.03
59,67,Minot,US,1619458526,66,90,48.2325,-101.2963,281.15,1.88
60,69,Taoudenni,ML,1619458526,8,46,22.6783,-3.9836,313.1,4.78
61,70,Airai,TL,1619458440,75,28,-8.9266,125.4092,286.27,0.56
62,71,Cazones de Herrera,MX,1619458527,65,75,20.7167,-97.3167,302.15,3.09
63,73,Wagar,SD,1619458527,17,80,16.1525,36.2032,309.78,2.26
64,74,Gamboma,CG,1619458528,69,59,-1.8764,15.8644,300.17,0.99
66,76,Saldanha,ZA,1619458529,88,11,-33.0117,17.9442,289.15,7.72
67,77,Klaksvík,FO,1619458529,87,75,62.2266,-6.589,279.15,6.69
68,78,Thaba-Tseka,LS,1619458530,34,31,-29.522,28.6084,283.99,3.06
69,79,Buluang,PH,1619458530,90,98,13.3068,123.3425,295.65,1.58
70,80,Hermanus,ZA,1619458530,84,8,-34.4187,19.2345,288.15,3.98
72,82,Baní,DO,1619458531,62,40,18.2833,-70.3333,304.26,3.6
73,83,Saint-Philippe,RE,1619458532,73,99,-21.3585,55.7679,299.15,7.72
75,85,Abhā,SA,1619458533,77,0,18.2164,42.5053,288.15,2.06
76,86,Ilulissat,GL,1619458533,40,75,69.2167,-51.1,284.15,7.72
77,87,Bethel,US,1619458534,30,1,41.3712,-73.414,285.37,7.72
